comment,date,netvalue,totvalue
0.0,"{""feeinfo"": [""\u5c0f\u4e8e7\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929"", ""0.00%""], ""name"": ""\u5bcc\u56fd\u5168\u7403\u503a\u5238(QDII)\u4eba\u6c11\u5e01C"", ""rate"": 0.0, ""segment"": [[0, 7], [7]]}",0.0,0.0
0.0,2023-10-10 00:00:00,1.2575,1.2575
0.0,2023-10-11 00:00:00,1.2612,1.2612
0.0,2023-10-12 00:00:00,1.2559,1.2559
0.0,2023-10-13 00:00:00,1.2574,1.2574
0.0,2023-10-16 00:00:00,1.2535,1.2535
0.0,2023-10-17 00:00:00,1.2476,1.2476
0.0,2023-10-18 00:00:00,1.2442,1.2442
0.0,2023-10-19 00:00:00,1.2393,1.2393
0.0,2023-10-20 00:00:00,1.2429,1.2429
0.0,2023-10-23 00:00:00,1.2465,1.2465
0.0,2023-10-24 00:00:00,1.2486,1.2486
0.0,2023-10-25 00:00:00,1.2431,1.2431
0.0,2023-10-26 00:00:00,1.2476,1.2476
0.0,2023-10-27 00:00:00,1.249,1.249
0.0,2023-10-30 00:00:00,1.2475,1.2475
0.0,2023-10-31 00:00:00,1.2454,1.2454
0.0,2023-11-01 00:00:00,1.2529,1.2529
0.0,2023-11-02 00:00:00,1.2573,1.2573
0.0,2023-11-03 00:00:00,1.2627,1.2627
0.0,2023-11-06 00:00:00,1.2651,1.2651
0.0,2023-11-07 00:00:00,1.2674,1.2674
0.0,2023-11-08 00:00:00,1.2707,1.2707
0.0,2023-11-09 00:00:00,1.2638,1.2638
0.0,2023-11-10 00:00:00,1.2621,1.2621
0.0,2023-11-13 00:00:00,1.2632,1.2632
0.0,2023-11-14 00:00:00,1.2712,1.2712
0.0,2023-11-15 00:00:00,1.272,1.272
0.0,2023-11-16 00:00:00,1.2754,1.2754
0.0,2023-11-17 00:00:00,1.2763,1.2763
0.0,2023-11-20 00:00:00,1.2809,1.2809
0.0,2023-11-21 00:00:00,1.2816,1.2816
0.0,2023-11-22 00:00:00,1.2779,1.2779
0.0,2023-11-23 00:00:00,1.2786,1.2786
0.0,2023-11-24 00:00:00,1.2749,1.2749
0.0,2023-11-27 00:00:00,1.2779,1.2779
0.0,2023-11-28 00:00:00,1.2813,1.2813
0.0,2023-11-29 00:00:00,1.285,1.285
0.0,2023-11-30 00:00:00,1.281,1.281
0.0,2023-12-01 00:00:00,1.2878,1.2878
0.0,2023-12-04 00:00:00,1.2845,1.2845
0.0,2023-12-05 00:00:00,1.2892,1.2892
0.0,2023-12-06 00:00:00,1.2907,1.2907
0.0,2023-12-07 00:00:00,1.2901,1.2901
0.0,2023-12-08 00:00:00,1.285,1.285
0.0,2023-12-11 00:00:00,1.2836,1.2836
0.0,2023-12-12 00:00:00,1.2853,1.2853
0.0,2023-12-13 00:00:00,1.2934,1.2934
