comment,date,netvalue,totvalue
0.0,"{""feeinfo"": [""\u5c0f\u4e8e7\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929\uff0c\u5c0f\u4e8e1\u5e74"", ""0.50%"", ""\u5927\u4e8e\u7b49\u4e8e1\u5e74\uff0c\u5c0f\u4e8e2\u5e74"", ""0.30%"", ""\u5927\u4e8e\u7b49\u4e8e2\u5e74"", ""0.00%""], ""name"": ""\u5e7f\u53d1\u7eb3\u65af\u8fbe\u514b100ETF\u8054\u63a5\u4eba\u6c11\u5e01(QDII)A"", ""rate"": 0.13, ""segment"": [[0, 7], [7, 365], [365, 730], [730]]}",0.0,0.0
0.0,2012-08-15 00:00:00,1.0,1.0
0.0,2012-08-17 00:00:00,1.0,1.0
0.0,2012-08-24 00:00:00,0.999,0.999
0.0,2012-08-31 00:00:00,0.999,0.999
0.0,2012-09-07 00:00:00,1.0,1.0
0.0,2012-09-13 00:00:00,1.001,1.001
0.0,2012-09-14 00:00:00,1.005,1.005
0.0,2012-09-17 00:00:00,1.005,1.005
0.0,2012-09-18 00:00:00,1.007,1.007
0.0,2012-09-19 00:00:00,1.01,1.01
0.0,2012-09-20 00:00:00,1.008,1.008
0.0,2012-09-21 00:00:00,1.009,1.009
0.0,2012-09-24 00:00:00,1.002,1.002
0.0,2012-09-25 00:00:00,0.989,0.989
0.0,2012-09-26 00:00:00,0.981,0.981
0.0,2012-09-27 00:00:00,0.994,0.994
0.0,2012-09-28 00:00:00,0.987,0.987
0.0,2012-10-08 00:00:00,0.986,0.986
0.0,2012-10-09 00:00:00,0.981,0.981
0.0,2012-10-10 00:00:00,0.98,0.98
0.0,2012-10-11 00:00:00,0.979,0.979
0.0,2012-10-12 00:00:00,0.977,0.977
0.0,2012-10-15 00:00:00,0.976,0.976
0.0,2012-10-16 00:00:00,0.982,0.982
0.0,2012-10-17 00:00:00,0.98,0.98
0.0,2012-10-18 00:00:00,0.971,0.971
0.0,2012-10-19 00:00:00,0.953,0.953
0.0,2012-10-22 00:00:00,0.956,0.956
0.0,2012-10-23 00:00:00,0.951,0.951
0.0,2012-10-24 00:00:00,0.949,0.949
0.0,2012-10-25 00:00:00,0.949,0.949
0.0,2012-10-26 00:00:00,0.95,0.95
0.0,2012-10-29 00:00:00,0.949,0.949
0.0,2012-10-30 00:00:00,0.95,0.95
0.0,2012-10-31 00:00:00,0.946,0.946
0.0,2012-11-01 00:00:00,0.953,0.953
0.0,2012-11-02 00:00:00,0.948,0.948
0.0,2012-11-05 00:00:00,0.952,0.952
0.0,2012-11-06 00:00:00,0.953,0.953
0.0,2012-11-07 00:00:00,0.941,0.941
0.0,2012-11-08 00:00:00,0.934,0.934
0.0,2012-11-09 00:00:00,0.934,0.934
0.0,2012-11-12 00:00:00,0.932,0.932
0.0,2012-11-13 00:00:00,0.925,0.925
0.0,2012-11-14 00:00:00,0.915,0.915
0.0,2012-11-15 00:00:00,0.912,0.912
0.0,2012-11-16 00:00:00,0.916,0.916
0.0,2012-11-19 00:00:00,0.939,0.939
0.0,2012-11-20 00:00:00,0.938,0.938
0.0,2012-11-21 00:00:00,0.939,0.939
0.0,2012-11-22 00:00:00,0.939,0.939
0.0,2012-11-23 00:00:00,0.953,0.953
0.0,2012-11-26 00:00:00,0.956,0.956
0.0,2012-11-27 00:00:00,0.953,0.953
0.0,2012-11-28 00:00:00,0.961,0.961
0.0,2012-11-29 00:00:00,0.966,0.966
0.0,2012-11-30 00:00:00,0.965,0.965
0.0,2012-12-03 00:00:00,0.963,0.963
0.0,2012-12-04 00:00:00,0.959,0.959
0.0,2012-12-05 00:00:00,0.949,0.949
0.0,2012-12-06 00:00:00,0.956,0.956
0.0,2012-12-07 00:00:00,0.951,0.951
0.0,2012-12-10 00:00:00,0.953,0.953
0.0,2012-12-11 00:00:00,0.964,0.964
0.0,2012-12-12 00:00:00,0.962,0.962
0.0,2012-12-13 00:00:00,0.955,0.955
0.0,2012-12-14 00:00:00,0.946,0.946
0.0,2012-12-17 00:00:00,0.958,0.958
0.0,2012-12-18 00:00:00,0.972,0.972
0.0,2012-12-19 00:00:00,0.966,0.966
0.0,2012-12-20 00:00:00,0.967,0.967
0.0,2012-12-21 00:00:00,0.957,0.957
0.0,2012-12-24 00:00:00,0.955,0.955
0.0,2012-12-25 00:00:00,0.956,0.956
0.0,2012-12-26 00:00:00,0.949,0.949
0.0,2012-12-27 00:00:00,0.947,0.947
0.0,2012-12-28 00:00:00,0.937,0.937
0.0,2012-12-31 00:00:00,0.955,0.955
0.0,2013-01-04 00:00:00,0.977,0.977
0.0,2013-01-07 00:00:00,0.977,0.977
0.0,2013-01-08 00:00:00,0.974,0.974
0.0,2013-01-09 00:00:00,0.977,0.977
0.0,2013-01-10 00:00:00,0.982,0.982
0.0,2013-01-11 00:00:00,0.982,0.982
0.0,2013-01-14 00:00:00,0.978,0.978
0.0,2013-01-15 00:00:00,0.973,0.973
0.0,2013-01-16 00:00:00,0.978,0.978
0.0,2013-01-17 00:00:00,0.982,0.982
0.0,2013-01-18 00:00:00,0.981,0.981
0.0,2013-01-21 00:00:00,0.981,0.981
0.0,2013-01-22 00:00:00,0.982,0.982
0.0,2013-01-23 00:00:00,0.987,0.987
0.0,2013-01-24 00:00:00,0.974,0.974
0.0,2013-01-25 00:00:00,0.98,0.98
0.0,2013-01-28 00:00:00,0.982,0.982
0.0,2013-01-29 00:00:00,0.983,0.983
0.0,2013-01-30 00:00:00,0.98,0.98
0.0,2013-01-31 00:00:00,0.978,0.978
0.0,2013-02-01 00:00:00,0.989,0.989
0.0,2013-02-04 00:00:00,0.973,0.973
0.0,2013-02-05 00:00:00,0.987,0.987
