comment,date,netvalue,totvalue
0.0,"{""feeinfo"": [""\u5c0f\u4e8e7\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929\uff0c\u5c0f\u4e8e1\u5e74"", ""0.50%"", ""\u5927\u4e8e\u7b49\u4e8e1\u5e74\uff0c\u5c0f\u4e8e2\u5e74"", ""0.25%"", ""\u5927\u4e8e\u7b49\u4e8e2\u5e74"", ""0.00%""], ""name"": ""\u56fd\u6cf0\u7eb3\u65af\u8fbe\u514b100\u6307\u6570"", ""rate"": 0.15, ""segment"": [[0, 7], [7, 365], [365, 730], [730]]}",0.0,0.0
0.0,2010-04-29 00:00:00,1.0,1.0
0.0,2010-04-30 00:00:00,1.0,1.0
0.0,2010-05-07 00:00:00,0.999,0.999
0.0,2010-05-14 00:00:00,1.0,1.0
0.0,2010-05-21 00:00:00,0.999,0.999
0.0,2010-05-28 00:00:00,0.999,0.999
0.0,2010-06-02 00:00:00,0.999,0.999
0.0,2010-06-03 00:00:00,1.0,1.0
0.0,2010-06-04 00:00:00,0.999,0.999
0.0,2010-06-07 00:00:00,0.998,0.998
0.0,2010-06-08 00:00:00,0.998,0.998
0.0,2010-06-09 00:00:00,0.997,0.997
0.0,2010-06-10 00:00:00,1.0,1.0
0.0,2010-06-11 00:00:00,1.001,1.001
0.0,2010-06-17 00:00:00,1.005,1.005
0.0,2010-06-18 00:00:00,1.004,1.004
0.0,2010-06-21 00:00:00,1.002,1.002
0.0,2010-06-22 00:00:00,0.998,0.998
0.0,2010-06-23 00:00:00,0.998,0.998
0.0,2010-06-24 00:00:00,0.994,0.994
0.0,2010-06-25 00:00:00,0.993,0.993
0.0,2010-06-28 00:00:00,0.991,0.991
0.0,2010-06-29 00:00:00,0.979,0.979
0.0,2010-06-30 00:00:00,0.974,0.974
0.0,2010-07-01 00:00:00,0.973,0.973
0.0,2010-07-02 00:00:00,0.971,0.971
0.0,2010-07-06 00:00:00,0.972,0.972
0.0,2010-07-07 00:00:00,0.983,0.983
0.0,2010-07-08 00:00:00,0.985,0.985
0.0,2010-07-09 00:00:00,0.989,0.989
0.0,2010-07-12 00:00:00,0.99,0.99
0.0,2010-07-13 00:00:00,0.996,0.996
0.0,2010-07-14 00:00:00,0.998,0.998
0.0,2010-07-15 00:00:00,0.998,0.998
0.0,2010-07-16 00:00:00,0.986,0.986
0.0,2010-07-19 00:00:00,0.991,0.991
0.0,2010-07-20 00:00:00,0.995,0.995
0.0,2010-07-21 00:00:00,0.99,0.99
0.0,2010-07-22 00:00:00,1.0,1.0
0.0,2010-07-23 00:00:00,1.002,1.002
0.0,2010-07-26 00:00:00,1.005,1.005
0.0,2010-07-27 00:00:00,1.004,1.004
0.0,2010-07-28 00:00:00,1.001,1.001
0.0,2010-07-29 00:00:00,0.999,0.999
0.0,2010-07-30 00:00:00,0.999,0.999
0.0,2010-08-02 00:00:00,1.006,1.006
0.0,2010-08-03 00:00:00,1.005,1.005
0.0,2010-08-04 00:00:00,1.008,1.008
0.0,2010-08-05 00:00:00,1.008,1.008
0.0,2010-08-06 00:00:00,1.007,1.007
0.0,2010-08-09 00:00:00,1.009,1.009
0.0,2010-08-10 00:00:00,1.006,1.006
0.0,2010-08-11 00:00:00,0.995,0.995
0.0,2010-08-12 00:00:00,0.994,0.994
0.0,2010-08-13 00:00:00,0.991,0.991
0.0,2010-08-16 00:00:00,0.992,0.992
0.0,2010-08-17 00:00:00,0.997,0.997
0.0,2010-08-18 00:00:00,0.997,0.997
0.0,2010-08-19 00:00:00,0.99,0.99
0.0,2010-08-20 00:00:00,0.991,0.991
0.0,2010-08-23 00:00:00,0.987,0.987
0.0,2010-08-24 00:00:00,0.978,0.978
0.0,2010-08-25 00:00:00,0.983,0.983
0.0,2010-08-26 00:00:00,0.977,0.977
0.0,2010-08-27 00:00:00,0.983,0.983
0.0,2010-08-30 00:00:00,0.977,0.977
0.0,2010-08-31 00:00:00,0.977,0.977
0.0,2010-09-01 00:00:00,0.993,0.993
0.0,2010-09-02 00:00:00,0.999,0.999
0.0,2010-09-03 00:00:00,1.008,1.008
0.0,2010-09-07 00:00:00,1.001,1.001
0.0,2010-09-08 00:00:00,1.01,1.01
0.0,2010-09-09 00:00:00,1.011,1.011
0.0,2010-09-10 00:00:00,1.011,1.011
0.0,2010-09-13 00:00:00,1.019,1.019
0.0,2010-09-14 00:00:00,1.02,1.02
0.0,2010-09-15 00:00:00,1.022,1.022
0.0,2010-09-16 00:00:00,1.024,1.024
